MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED
"i2c1510046a","Instore Sampling4",1,"Grow awareness","OTS - unique","Offer",2,14732.000000
"i2cLYNX222","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,7621859.000000
"i2c1507156a","TV Wall1",2,"Grow awareness","OTS         ","Offer",2,22688467.000000
"i2c1507203a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,124033.000000
"i2c1508107a","JS Magazine1",2,"Grow awareness","OTS         ","Offer",2,192513.000000
"i2c1507076a","JS Magazine1",3,"Grow awareness","OTS         ","Offer",2,146975.000000
"i2c1509101a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,121081.000000
"i2c1510108a","TV Wall1",1,"Grow awareness","OTS         ","Offer",2,25077863.000000
"i2c1510047a","JS Magazine1",2,"Grow awareness","OTS         ","Offer",2,264830.000000
"i2c1510047a","JS Magazine1",2,"Grow awareness","OTS - unique","Offer",2,220443.000000
"i2c1507203a","Trolleys1",3,"Grow awareness","OTS - unique","Offer",2,1696684.000000
"i2c1509131a","Total",3,"Grow awareness","OTS         ","Offer",2,550764.000000
"i2c1601020a","Total",1,"Grow awareness","OTS - unique","Offer",2,293528.000000
"i2c1535KE0","Total",5,"Grow awareness","OTS         ","Offer",2,691312.000000
"i2c1601020a","Total",1,"Grow awareness","OTS         ","Offer",2,529309.000000
"i2cLYNX777","Total",3,"Grow awareness","OTS         ","Offer",2,26905677.000000
"i2c1511135a","Total",2,"Grow awareness","OTS         ","Offer",2,4972442.000000
"i2c1508250a","Total",3,"Grow awareness","OTS         ","Offer",2,6040734.000000
"i2c1511028a","Total",2,"Grow awareness","OTS         ","Offer",2,2019506.000000
"i2cLYNX444","Total",3,"Grow awareness","OTS         ","Offer",2,15273888.000000
"i2c1509101a","Total",3,"Grow awareness","OTS - unique","Offer",2,121081.000000
"i2c1510047a","Total",2,"Grow awareness","OTS - unique","Offer",2,2588323.000000
"i2c1510006a","Total",3,"Grow awareness","OTS         ","Offer",2,745560.000000
"i2c1510116a","Total",2,"Grow awareness","OTS         ","Offer",2,576040.000000
"i2cLYNX333","Total",3,"Grow awareness","OTS - unique","Offer",2,2723836.000000
"i2c1508107a","Total",2,"Grow awareness","OTS - unique","Offer",2,2150878.000000
"i2c1508179a","Total",1,"Grow awareness","OTS - unique","Offer",2,323922.000000
"i2c1511005a","Total",1,"Grow awareness","OTS         ","Offer",2,23127502.000000
"i2c1508013a","Total",3,"Grow awareness","OTS - unique","Offer",2,1683888.000000
"i2cLYNX888","Total",3,"Grow awareness","OTS - unique","Offer",2,3957204.000000
"i2c1507156a","Total",2,"Grow awareness","OTS         ","Offer",2,28563316.000000
