MASTER_CAMPAIGN_ID,CAMPAIGN_NAME,SUPPLIER,BRAND,CATEGORY,NPD,MEDIA_COST
"i2c1512024a","RSS Heinz Ketchup Gates C15","HJ Heinz Food Ltd","Heinz Sauces","CANNED & PACKAGED",0,45000
"i2c1509002a","Back to School - Italian","Oscar Mayer","JS","MEAL SOLUTIONS",1,45000
"i2c1509016a","Im a Celebrity ATL Sponsorship","Aunt Bessies Limited","Aunt Bessies Limited Brand(s)","FROZEN FOOD",0,45260
"i2c1509016a2","Im a Celebrity ATL Sponsorship","Aunt Bessies Limited","Aunt Bessies Limited Brand(s)","FROZEN FOOD",0,45260
"i2c1508013a","Quaker Granola NPD","PepsiCo","QUAKER","CANNED & PACKAGED",1,46217
"i2c1508013a","Quaker Granola NPD","PepsiCo","QUAKER","IMPULSE FOOD",1,46217
"i2c1509116a","Knorr Gravy Pots","Unilever UK Ltd","Knorr","CANNED & PACKAGED",0,46700
"i2c1508146a","Glade candles sampling","SC Johnson Ltd","Glade","HOUSEHOLD & PETCARE",0,47678
"i2c1511135a","Cycle 16, Mondelez, Belvita Soft Bakes NPD","Mondelez UK Limited","belVita","IMPULSE FOOD",0,47948
"i2c1507076a","Badoit Green & Rouge Campaign","Danone Waters UK & Ireland","Badoit","IMPULSE FOOD",0,48100
"i2c1508265a","P&G - Oral-B Back to School","Procter & Gamble UK","Oral-B","BABY & BEAUTY",0,49225
"i2c1507203a","Suntory - Orangina C11 activity","Lucozade Ribena Suntory Ltd","Lucozade Ribena Suntory","IMPULSE FOOD",0,50000
"i2c1507156a","Kimberly Clark - Andrex Global Sanitation","Kimberly Clark Ltd","Andrex","HOUSEHOLD & PETCARE",0,52200
"i2c1508250a","Naked Coconut Water 6 sheets ","PepsiCo","Naked","DAIRY",1,53450
"i2c1508250a","Naked Coconut Water 6 sheets ","PepsiCo","Naked","WORLD FOODS",1,53450
"i2c1507030a","Sharwoods Stir-fry melts","Premier","SHARWOODS","CANNED & PACKAGED",1,53600
"i2c1508040a","P&G - Always - Like a girl","Procter & Gamble UK","Always","BABY & BEAUTY",0,54510
"i2c1508118a","Aquafresh Disney Follow Up","GlaxoSmithKline Services Unlimited","Aquafresh","BABY & BEAUTY",0,58000
"i2c1509107a3","P&G Christmas Household","Procter & Gamble UK","Fairy HDW","HOUSEHOLD & PETCARE",0,59860
"i2c1509107a4","P&G Christmas - Household","Procter & Gamble UK","Fairy ADW","HOUSEHOLD & PETCARE",0,59860
"i2cFAIDADWV2","P&G Christmas - Household","Procter & Gamble UK","Fairy ADW","HOUSEHOLD & PETCARE",0,59860
"i2cFAIDADWV4","P&G Christmas - Household","Procter & Gamble UK","Fairy ADW","HOUSEHOLD & PETCARE",0,59860
"i2cFAIDHDWV2","P&G Christmas Household","Procter & Gamble UK","Fairy HDW","HOUSEHOLD & PETCARE",0,59860
"i2cFAIDHDWV3","P&G Christmas Household","Procter & Gamble UK","Fairy HDW","HOUSEHOLD & PETCARE",0,59860
"i2cFAIDHDWV4","P&G Christmas Household","Procter & Gamble UK","Fairy HDW","HOUSEHOLD & PETCARE",0,59860
"i2c1512047a","Mars Choc Celebrations Christmas 2016 ","Mars Chocolate UK Ltd","Celebrations","IMPULSE FOOD",0,60000
"i2c1509014a","Ribena Winter Spice Sampling","Lucozade Ribena Suntory Ltd","Lucozade Ribena Suntory","IMPULSE FOOD",0,61210
"i2c1509125a","Tassimo Christmas 2015","D. E. Master Blenders 1753 N.V.","Douwe Egberts","CANNED & PACKAGED",0,65168
"i2c1509125a","Tassimo Christmas 2015","D. E. Master Blenders 1753 N.V.","Douwe Egberts","ELECTRICAL & LEISURE",0,65168
"i2c1509125a2","Tassimo Christmas 2015","D. E. Master Blenders","Douwe Egberts","CANNED & PACKAGED",0,65168
"i2c1509125a2","Tassimo Christmas 2015","D. E. Master Blenders","Douwe Egberts","ELECTRICAL & LEISURE",0,65168
"i2c1509061a","Coors Carling Christmas","Coors Brewers Ltd","Carling","BEERS, WINES & SPIRITS",0,65500
"i2cNEW-TOOL","Coors Carling Christmas","Coors Brewers Ltd","Carling","BEERS, WINES & SPIRITS",0,65500
"i2c1509103a","FloraProActiv","Unilever UK Ltd","Flora Pro.activ","DAIRY",0,68783
"i2c1509042a","Old Mout C12","Heineken UK Ltd","Old Mout","BEERS, WINES & SPIRITS",0,73000
"i2c1507187a","Colgate Palmolive - CSPR","Colgate Palmolive Uk Ltd","Colgate","BABY & BEAUTY",0,73250
"i2c1508169a2","Goody Good Stuff ","SHS Sales","Goody Goody Stuff","CANNED & PACKAGED",0,73983
"i2c1509107a1","P&G Christmas Household","Procter & Gamble UK","Lenor","HOUSEHOLD & PETCARE",0,73983
"i2c1509107a5","P&G Christmas Household","Procter & Gamble UK","Febreeze","HOUSEHOLD & PETCARE",0,73983
"i2c1509107aA","P&G Christmas Household","Procter & Gamble UK","Ariel","HOUSEHOLD & PETCARE",0,73983
"i2c1509107aF","P&G Christmas Household","Procter & Gamble UK","Flash","HOUSEHOLD & PETCARE",0,73983
"i2c1509107aL","P&G Christmas Household","Procter & Gamble UK","Lenor","HOUSEHOLD & PETCARE",0,73983
"i2c1510003aG","P&G Beauty Xmas","Procter & Gamble UK","Gillette","BABY & BEAUTY",0,73983
"i2c1510003aH","P&G Beauty Xmas","Procter & Gamble UK","Head and Shoulders","BABY & BEAUTY",0,73983
"i2c1510003aV","P&G Beauty Xmas","Procter & Gamble UK","Venus","BABY & BEAUTY",0,73983
"i2cARIALV2","P&G Christmas Household","Procter & Gamble UK","Ariel","HOUSEHOLD & PETCARE",0,73983
"i2cARIALV4","P&G Christmas Household","Procter & Gamble UK","Ariel","HOUSEHOLD & PETCARE",0,73983
"i2cFABREV2","P&G Christmas Household","Procter & Gamble UK","Febreeze","HOUSEHOLD & PETCARE",0,73983
"i2cFABREV4","P&G Christmas Household","Procter & Gamble UK","Febreeze","HOUSEHOLD & PETCARE",0,73983
"i2cFLASHV2","P&G Christmas Household","Procter & Gamble UK","Flash","HOUSEHOLD & PETCARE",0,73983
"i2cFLASHV4","P&G Christmas Household","Procter & Gamble UK","Flash","HOUSEHOLD & PETCARE",0,73983
"i2cGILLEV2","P&G Beauty Xmas","Procter & Gamble UK","Gillette","BABY & BEAUTY",0,73983
"i2cGILLEV4","P&G Beauty Xmas","Procter & Gamble UK","Gillette","BABY & BEAUTY",0,73983
"i2cHSV2","P&G Beauty Xmas","Procter & Gamble UK","Head and Shoulders","BABY & BEAUTY",0,73983
"i2cHSV4","P&G Beauty Xmas","Procter & Gamble UK","Head and Shoulders","BABY & BEAUTY",0,73983
"i2cLENORV2","P&G Christmas Household","Procter & Gamble UK","Lenor","HOUSEHOLD & PETCARE",0,73983
"i2cLENORV4","P&G Christmas Household","Procter & Gamble UK","Lenor","HOUSEHOLD & PETCARE",0,73983
"i2cLENUNV2","P&G Christmas Household","Procter & Gamble UK","Lenor","HOUSEHOLD & PETCARE",0,73983
"i2cLENUNV4","P&G Christmas Household","Procter & Gamble UK","Lenor","HOUSEHOLD & PETCARE",0,73983
"i2cVENUSV2","P&G Beauty Xmas","Procter & Gamble UK","Venus","BABY & BEAUTY",0,73983
"i2cVENUSV4","P&G Beauty Xmas","Procter & Gamble UK","Venus","BABY & BEAUTY",0,73983
"i2c1511005a","Market Deli Christmas","PepsiCo","Market Deli","IMPULSE FOOD",0,75725
"i2c1508034a","Horlicks Special Packs","GlaxoSmithKline Services Unlimited","Horlicks","CANNED & PACKAGED",0,78900
"i2c1507161a","Lindt - Lindor Six Sheets","Lindt & Sprungli (UK) Ltd","Lindor","IMPULSE FOOD",0,92500
"i2c1510003a2","P&G Beauty Xmas","Procter & Gamble UK","Oral-B","BABY & BEAUTY",0,95710
"i2cORALBV2","P&G Beauty Xmas","Procter & Gamble UK","Oral-B","BABY & BEAUTY",0,95710
"i2cORALBV4","P&G Beauty Xmas","Procter & Gamble UK","Oral-B","BABY & BEAUTY",0,95710
"TEST_JD","Birds Eye - Back to School","Birds Eye","BIRDSEYE","FROZEN FOOD",0,96708
"TEST_JD2","Birds Eye - Back to School","Birds Eye","BIRDSEYE","FROZEN FOOD",0,96708
"i2c1509111a2","Kleenex YTG Promo Support Plan","Kimberly Clark Ltd","Kleenex","HOUSEHOLD & PETCARE",0,96732
"i2c1510033a","Andrex Christmas","Kimberly Clark Ltd","Andrex","HOUSEHOLD & PETCARE",0,96732
"i2c1511015a","Premier Foods - Christmas 2015","Premier Foods Group Ltd","Premier Foods","BAKERY & CAFES",0,105500
"i2c1511015a","Premier Foods - Christmas 2015","Premier Foods Group Ltd","Premier Foods","CANNED & PACKAGED",0,105500
