MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
"i2c1509014a","JS Magazine1",164222
"i2c1507156a","JS Magazine1, Six Sheets1, TV Wall1",21470
"i2c1510062a","Instore Sampling2",48426
"i2c1510046a","Instore Sampling1",42817
"i2c1511015a","Entrance Gates1, Six Sheets1, TV Wall1",139149
"i2c1511015a","Entrance Gates1, Six Sheets1, Trolleys1, Six Sheets2",36283
"i2c1509016a","TV Wall1",3043305
"i2c1512024a","Total",2114124
"i2c1507076a","Instore Sampling3",85380
"i2c1509107a1","Six Sheets1, Six Sheets2, Six Sheets3",93957
"i2cORALBV2","Six Sheets2",37219
"i2c1510054a2","Other",306811
"i2c1511015a","TV Wall1",1206267
"i2c1510046a","Instore Sampling2",136257
"i2c1508034a","JS Magazine1",218103
"i2c1510116a","Total",273735
"i2c1509016a2","Total",2013807
"i2cFLASHV2","Total",1057372
"i2c1508034a","Total",1389929
"i2cLYNX444","Total",2522950
"i2c1510145a","Total",1123761
"i2cOLAYV2","Total",1839367
"i2c1507192a","Total",243671
"i2c1509022a","Total",275419
"i2c1508042a","JS Magazine1",131999
"i2c1507030a","JS Magazine1",177451
"i2c1509107aA","Six Sheets2, Six Sheets3",51759
"i2c1509061a","JS Magazine1",66025
"i2cFAINBV4","Six Sheets1",685771
"i2c1509103a","Instore Sampling4",18358
"i2cLENUNV2","Six Sheets1, Six Sheets2",281329
"i2c1508186a","Entrance Gates1, Trolleys1",385679
"i2c1508186a2","Entrance Gates1",1091059
"i2c1510047a","JS Magazine1, Six Sheets1",17309
"i2c1510108a","TV Wall1, Instore Sampling2",107662
"i2c1512022P","TV Wall1",1277546
"TEST_JD","Milk Media1, Six Sheets1",30868
"i2c1509107aL","Total",582970
"i2cFLASHV4","Six Sheets1",1057364
"ALAN_TEST","Trolleys1",1249030
"i2c1509103a","Instore Sampling1",320000
"i2c1511005a","Instore Sampling1, Six Sheets1",73040
"i2c1511015a","Entrance Gates1, Trolleys1, Six Sheets2",18644
"i2c1507095a","JS Magazine1, Trolleys1, TV Wall1",30730
"i2c1510003a2","Six Sheets1",559295
