MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
"i2c1509107a4",2,2015-10-04
"i2c1509107a4",3,2015-10-05
"i2c1509107a4",4,2015-10-18
"i2c1510052a",1,2015-08-31
"i2cFLASHV2",1,2015-08-10
"i2c1510052a",2,2015-11-22
"i2cFLASHV2",2,2015-11-01
"i2c1510052a",3,2015-11-23
"i2cFLASHV2",3,2015-11-02
"i2c1510052a",4,2015-12-01
"i2cFLASHV2",4,2015-11-15
"i2c1510052a",5,2015-12-02
"i2c1510052a",6,2016-01-12
"i2c1505029aM",1,2015-02-09
"i2c1505029aM",2,2015-05-03
"i2c1505029aM",3,2015-05-04
"i2c1505029aM",4,2015-06-02
"i2c1505029aM",5,2015-06-03
"i2c1505029aM",6,2015-08-25
"i2c1511069a",1,2015-10-09
"i2c1511069a",2,2015-12-31
"i2c1511069a",3,2016-01-01
"i2c1511069a",4,2016-02-01
"i2c1511069a",5,2016-02-02
"i2c1511069a",6,2016-03-14
"i2c1509106a2",1,2015-08-24
"i2c1509106a2",2,2015-11-15
"i2c1509106a2",3,2015-11-16
"i2c1509106a2",4,2015-12-08
"i2c1509106a2",5,2015-12-09
"i2c1509106a2",6,2016-01-19
"i2c1508186a",1,2015-08-05
"i2c1508186a",2,2015-10-27
"i2c1508186a",3,2015-10-28
"i2c1508186a",4,2015-11-17
"i2c1508186a",5,2015-11-18
"i2c1508186a",6,2015-12-29
"i2c1510136a",1,2015-09-08
"i2c1510136a",2,2015-11-30
"i2c1510136a",3,2015-12-01
"i2c1510136a",4,2015-12-24
"i2c1510136a",5,2015-12-25
"i2c1510136a",6,2016-02-04
"i2c1537AH0a",1,2015-07-04
"i2c1537AH0a",2,2015-09-25
"i2c1537AH0a",3,2015-09-26
"i2c1537AH0a",4,2015-09-26
"i2c1537AH0a",5,2015-09-27
"i2c1537AH0a",6,2015-11-07
"i2c1509125a2",1,2015-08-04
"i2c1509125a2",2,2015-10-26
"i2c1509125a2",3,2015-10-27
"i2c1509125a2",4,2015-12-16
"i2c1509125a2",5,2015-12-17
"i2c1509125a2",6,2016-01-27
"i2c1510007a",1,2015-08-06
"i2c1510007a",2,2015-10-28
"i2c1510007a",3,2015-10-29
"i2c1510007a",4,2015-11-15
"i2c1510007a",5,2015-11-16
"i2c1510007a",6,2015-12-27
"i2c1601020a",1,2015-11-14
"i2c1601020a",2,2016-02-05
"i2c1601020a",3,2016-02-06
"i2c1601020a",4,2016-02-07
"i2c1601020a",5,2016-02-08
"i2c1601020a",6,2016-03-20
"i2c1509125a",1,2015-08-04
"i2c1509125a",2,2015-10-26
"i2c1509125a",3,2015-10-27
"i2c1509125a",4,2015-12-16
"i2c1509125a",5,2015-12-17
"i2c1509125a",6,2016-01-27
"i2c1509070a",1,2015-08-16
"i2c1509070a",2,2015-11-07
"i2c1509070a",3,2015-11-08
"i2c1509070a",4,2015-12-24
"i2c1509070a",5,2015-12-25
"i2c1509070a",6,2016-02-04
"i2c1506014aM",1,2015-04-07
"i2c1506014aM",2,2015-06-29
"i2c1506014aM",3,2015-06-30
"i2c1506014aM",4,2015-07-28
"i2c1506014aM",5,2015-07-29
"i2c1506014aM",6,2015-10-20
"i2c1510003a3",1,2015-08-24
"i2c1510003a3",2,2015-11-15
"i2c1510003a3",3,2015-11-16
"i2c1510003a3",4,2015-11-29
"i2c1511003a",1,2015-09-08
"i2c1511003a",2,2015-11-30
"i2c1511003a",3,2015-12-01
"i2c1511003a",4,2015-12-29
"i2c1511003a",5,2015-12-30
"i2c1511003a",6,2016-02-09
"i2c1507209a",1,2015-08-15
"i2c1507209a",2,2015-11-06
"i2c1507209a",3,2015-11-07
"i2c1507209a",4,2015-11-10
"i2c1507209a",5,2015-11-11
"i2c1507209a",6,2015-12-22
"i2c1510020a2",1,2015-08-04
"i2c1510020a2",2,2015-10-26
"i2c1510020a2",3,2015-10-27
"i2c1510020a2",4,2016-02-02
"i2c1510020a2",5,2016-02-03
"i2c1510020a2",6,2016-03-15
"i2cORALBV2",1,2015-08-24
"i2cORALBV2",2,2015-11-15
"i2cORALBV2",3,2015-11-16
"i2cORALBV2",4,2015-12-08
"i2cFAINBV2",1,2015-08-10
"i2cFAINBV2",2,2015-11-01
"i2cFAINBV2",3,2015-11-02
"i2cFAINBV2",4,2015-11-15
"i2c1507141a",1,2015-06-24
"i2c1507141a",2,2015-09-15
"i2c1507141a",3,2015-09-16
"i2c1507141a",4,2015-10-06
"i2c1507141a",5,2015-10-07
"i2c1507141a",6,2015-11-17
"i2cOLAYV4",1,2015-08-24
"i2cOLAYV4",2,2015-11-15
"i2cOLAYV4",3,2015-11-16
"i2cOLAYV4",4,2015-12-08
"i2cOLAYV4",5,2015-12-09
"i2cOLAYV4",6,2016-01-19
"i2c1511103a",1,2015-09-21
"i2c1511103a",2,2015-12-13
"i2c1511103a",3,2015-12-14
"i2c1511103a",4,2015-12-27
"i2c1511103a",5,2015-12-28
"i2c1511103a",6,2016-02-07
"i2c1507074aM",1,2015-04-07
"i2c1507074aM",2,2015-06-29
"i2c1507074aM",3,2015-06-30
"i2c1507074aM",4,2015-07-28
"i2c1507074aM",5,2015-07-29
"i2c1507074aM",6,2015-10-20
"i2c1507095a",1,2015-04-29
"i2c1507095a",2,2015-07-21
"i2c1507095a",3,2015-07-22
"i2c1507095a",4,2015-10-27
"i2c1507095a",5,2015-10-28
"i2c1507095a",6,2015-12-08
"i2cLENORV2",1,2015-08-10
"i2cLENORV2",2,2015-11-01
"i2cLENORV2",3,2015-11-02
"i2cLENORV2",4,2015-11-15
"i2c1507030a",1,2015-06-01
"i2c1507030a",2,2015-08-23
"i2c1507030a",3,2015-08-24
"i2c1507030a",4,2015-09-29
"i2c1507030a",5,2015-09-30
"i2c1507030a",6,2015-11-10
"i2c1506032M1",1,2015-03-10
"i2c1506032M1",2,2015-06-01
"i2c1506032M1",3,2015-06-02
"i2c1506032M1",4,2015-06-30
"i2c1506032M1",5,2015-07-01
"i2c1506032M1",6,2015-09-22
"i2c1508169a2",1,2015-08-07
"i2c1508169a2",2,2015-10-29
"i2c1508169a2",3,2015-10-30
"i2c1508169a2",4,2015-10-30
"i2c1508169a2",5,2015-10-31
"i2c1508169a2",6,2015-12-11
"i2c1504091aM",1,2015-01-13
"i2c1504091aM",2,2015-04-06
"i2c1504091aM",3,2015-04-07
"i2c1504091aM",4,2015-05-05
"i2c1504091aM",5,2015-05-06
"i2c1504091aM",6,2015-07-28
"i2cLYNX777",1,2015-11-15
"i2cLYNX777",2,2016-02-06
"i2cLYNX777",3,2016-02-07
"i2cLYNX777",4,2016-03-26
"i2c1508013a",1,2015-05-20
"i2c1508013a",2,2015-08-11
"i2c1508013a",3,2015-08-12
"i2c1508013a",4,2015-09-08
"i2c1508013a",5,2015-09-09
"i2c1508013a",6,2015-10-20
"TEST_JD",1,2015-05-27
