MASTER_CAMPAIGN_ID,SKU_NAME
"i2c1509046a","PHILADELPHIA WHIPPED PLAIN 140G"
"i2c1509048a","BENECOL BUTTERY SPREAD 500G"
"i2c1509048a","BENECOL LIGHT SPREAD 500G"
"i2c1509048a","BENECOL OLIVE SPREAD 500G"
"i2c1509061a","CARLING 15X440ML"
"i2c1509067a","JACOBS CRACKER CRISP SALT & VINEGAR 150G"
"i2c1509067a","JACOBS CRACKER CRISPS SWEET CHILLI 150G"
"i2c1509067a","JACOBS CRACKERS CRISPS SC & CHIVE 150G"
"i2c1509069a","COLMANS SHEPHERDS PIE MIX 50G"
"i2c1509070a","HAYWARDS HOT & SPICY ONIONS 400G"
"i2c1509070a","HAYWARDS SWEET & MILD BABY BEETROOT 400G"
"i2c1509070a","HAYWARDS SWEET & MILD SILVERSKINS 400G"
"i2c1509070a","HAYWARDS TANGY CRINKLE BEETROOT 400G"
"i2c1509070a","HAYWARDS TANGY SILVERSKIN ONIONS 400G"
"i2c1509070a","HAYWARDS TANGY TRADITIONAL ONIONS 400G"
"i2c1509101a","MOUNTAIN DEW 6X330ML"
"i2c1509103a","FLORA PRO-ACTIV BUTTERY 500G"
"i2c1509103a","FLORA PROACTIV POMEGRANATE & RASP 6X100G"
"i2c1509106a","PAMPERS ACTIVE FIT ESSENTIAL PK SZ5 [35]"
"i2c1509106a","PAMPERS BABY DRY ESSENTIAL PK SZ5+ [35]"
"i2c1509106a2","PAMPERS ACTIVE FIT ESSENTIAL PK SZ5 [35]"
"i2c1509106a2","PAMPERS BABY DRY ESSENTIAL PK SZ5+ [35]"
"i2c1509107a1","LENOR AMBER FLOWER 925ML"
"i2c1509107a1","LENOR CONCENTRATE FRESH MEADOW 550ML"
"i2c1509107a1","LENOR CONCENTRATE SPRING AWAKENING 1.1L"
"i2c1509107a1","LENOR CONCENTRATE SPRING AWAKENING 550ML"
"i2c1509107a1","LENOR CONCENTRATE SPRING AWAKNING 2.905L"
"i2c1509107a1","LENOR CONCENTRATE SUMMER BREEZE 1.1L"
"i2c1509107a1","LENOR CONCENTRATE SUMMER BREEZE 2.905L"
"i2c1509107a1","LENOR CONCENTRATE SUMMER BREEZE 550ML"
"i2c1509107a1","LENOR COTTON FLOWERS 1.9L"
"i2c1509107a1","LENOR DIAMOND & LOTUS FLOWER 925ML"
"i2c1509107a1","LENOR EMERALD & IVORY FLOWERS 925ML"
"i2c1509107a1","LENOR FRESH MEADOW 1.1L"
"i2c1509107a1","LENOR GOLD ORCHID 1.8L"
"i2c1509107a1","LENOR GOLD ORCHID 925ML"
"i2c1509107a1","LENOR INFUSIONS AMETHYST & FLORAL 1.16L"
"i2c1509107a1","LENOR INFUSIONS DIAMOND & LOTUS 1.16L"
"i2c1509107a1","LENOR INFUSIONS GOLD ORCHID 550ML"
"i2c1509107a1","LENOR INFUSIONS PEARL & MOONFLOWER 1.16L"
"i2c1509107a1","LENOR INFUSIONS RUBY JASMINE 550ML"
"i2c1509107a1","LENOR INFUSIONS RUBY JASMINE 925ML"
"i2c1509107a1","LENOR INFUSIONS TOPAZ & MAGNOLIA 925ML"
"i2c1509107a1","LENOR INFUSIONS WILD FLOWER BLOOM 750ML"
"i2c1509107a1","LENOR MOONLIGHT HARMONY 1.1L"
"i2c1509107a1","LENOR MOONLIGHT HARMONY 750ML"
"i2c1509107a1","LENOR OCEAN ESCAPE 1.8L"
"i2c1509107a1","LENOR OCEAN ESCAPE 550ML"
"i2c1509107a1","LENOR OCEAN ESCAPE 925ML"
"i2c1509107a1","LENOR PURE CARE ALMOND OIL 1.1L"
"i2c1509107a1","LENOR SPRING AWAKENING 1.9L"
"i2c1509107a1","LENOR SUMMER BREEZE 1.9L"
"i2c1509107a1","LENOR TUMBLE DRYER SHEETS X34"
"i2c1509107a1","LENOR WILD FLOWER BLOOM 925ML"
"i2c1509107a2","FAIRY NON BIO GEL 592ML"
"i2c1509107a2","FAIRY NON BIO GEL 888ML"
"i2c1509107a2","FAIRY NON BIO LIQUID 1.2L"
"i2c1509107a2","FAIRY NON BIO LIQUID 2L"
"i2c1509107a2","FAIRY NON BIO LIQUID 3L"
"i2c1509107a2","FAIRY NON BIO LIQUITABS X10 350G"
"i2c1509107a2","FAIRY NON BIO LIQUITABS X30"
"i2c1509107a2","FAIRY NON BIO PODS X12"
"i2c1509107a2","FAIRY NON BIO PODS X19 554.8G"
"i2c1509107a2","FAIRY NON BIO PODS X38 1109.6G"
"i2c1509107a2","FAIRY NON BIO POWDER 1.43KG"
"i2c1509107a2","FAIRY NON BIO POWDER 2.6KG"
"i2c1509107a2","FAIRY NON BIO POWDER 3.6KG"
"i2c1509107a2","FAIRY NON BIO POWDER 4.22KG"
"i2c1509107a2","FAIRY NON BIO POWDER 650G"
"i2c1509107a2","FAIRY NON BIO TABLETS X24"
"i2c1509107a2","FAIRY NON BIO TABLETS X40 1.32KG"
"i2c1509107a3","FAIRY LIQUID PLATINUM 615ML"
"i2c1509107a3","FAIRY LIQUID PLATINUM LEMON 383ML"
"i2c1509107a3","FAIRY LIQUID PLATINUM LEMON 615ML"
"i2c1509107a3","FAIRY LIQUID PLATINUM ORIGINAL 383ML"
"i2c1509107a4","FAIRY LIQUID PLATINUM 615ML"
"i2c1509107a4","FAIRY LIQUID PLATINUM LEMON 383ML"
"i2c1509107a4","FAIRY LIQUID PLATINUM LEMON 615ML"
"i2c1509107a4","FAIRY LIQUID PLATINUM ORIGINAL 383ML"
"i2c1509107a5","FEBREZE AEROSOL APPLE & SPICE 300ML"
"i2c1509107a5","FEBREZE AEROSOL BLOSSOM 300ML"
"i2c1509107a5","FEBREZE AEROSOL COASTAL ESCAPE 300ML"
"i2c1509107a5","FEBREZE AEROSOL COTTON 300ML"
"i2c1509107a5","FEBREZE AEROSOL FREESIA BLOOM 300ML"
"i2c1509107a5","FEBREZE AEROSOL HIMALAYA 300ML"
"i2c1509107a5","FEBREZE AEROSOL HOLLYBERRIES 300ML"
"i2c1509107a5","FEBREZE AEROSOL JAPAN TATAMI 300ML"
"i2c1509107a5","FEBREZE AEROSOL LOTUS VERBENA 300ML"
"i2c1509107a5","FEBREZE AEROSOL MEADOW 300ML"
"i2c1509107a5","FEBREZE AEROSOL MOONLIT LAVENDER 300ML"
"i2c1509107a5","FEBREZE AEROSOL QUIET JASMINE 300ML"
"i2c1509107a5","FEBREZE AEROSOL SANDALWOOD 300ML"
"i2c1509107a5","FEBREZE AEROSOL SPICED APPLE 300ML"
"i2c1509107a5","FEBREZE AEROSOL THAI ORCHID 300ML"
"i2c1509107a5","FEBREZE AEROSOL VANILLA 300ML"
"i2c1509107a5","FEBREZE AEROSOL WARM MILK & HONEY 300ML"
"i2c1509107a5","FEBREZE AEROSOL WILDFLOWER 300ML"
"i2c1509107a5","FEBREZE AEROSOL WINTER GARDEN 300ML"
"i2c1509107a5","FEBREZE SPRAY APPLE SPICE 300ML"
"i2c1509107a5","FEBREZE SPRAY NEW ZEALAND 300ML"
"i2c1509107a5","FEBREZE SPRAY WINTER 300ML"
"i2c1509107a5","FEBREZE SPRY SEASONAL SPRING 300ML"
"i2c1509107a6","FAIRY NON BIO GEL 592ML"
"i2c1509107a6","FAIRY NON BIO GEL 888ML"
"i2c1509107a6","FAIRY NON BIO LIQUID 1.2L"
"i2c1509107a6","FAIRY NON BIO LIQUID 2L"
